Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,NOK,NOK,NOK,NOK,NOK,,,
2021-02-16,2021,2,16,Tuesday,07,2021-07,3.75,3.77,3.68,3.71,42745500,-0.009592210592632155,4.076428571428571,3.8856666666666664
2021-02-17,2021,2,17,Wednesday,07,2021-07,3.68,3.7,3.64,3.69,50251800,-0.004842716779922984,3.9199999999999995,3.8793548387096775
2021-02-18,2021,2,18,Thursday,07,2021-07,3.66,3.72,3.64,3.7,43669200,0.0024332059836278397,3.883571428571429,3.87375
2021-02-19,2021,2,19,Friday,07,2021-07,3.71,3.72,3.65,3.66,28413700,-0.012135919515534721,3.8521428571428573,3.867272727272727
2021-02-22,2021,2,22,Monday,08,2021-08,3.61,3.63,3.56,3.56,56342100,-0.02702726849372228,3.792857142857143,3.858235294117647
2021-02-23,2021,2,23,Tuesday,08,2021-08,3.53,3.57,3.44,3.55,68365800,-0.002525038078657338,3.755714285714286,3.849428571428571
2021-02-24,2021,2,24,Wednesday,08,2021-08,3.54,3.7,3.51,3.63,77998700,0.022784751777672252,3.7135714285714285,3.8433333333333337
2021-02-25,2021,2,25,Thursday,08,2021-08,3.82,3.9,3.6,3.64,121260400,0.0024753654232090305,3.692857142857143,3.8378378378378377
2021-02-26,2021,2,26,Friday,08,2021-08,3.6,3.63,3.51,3.52,69186700,-0.032098914303259174,3.673571428571429,3.8294736842105266
2021-03-01,2021,3,1,Monday,09,2021-09,3.58,3.68,3.58,3.63,40902400,0.030612282207033825,3.6592857142857143,3.8243589743589745
2021-03-02,2021,3,2,Tuesday,09,2021-09,3.62,3.66,3.59,3.63,29041800,0.0,3.65,3.8195
2021-03-03,2021,3,3,Wednesday,09,2021-09,3.59,3.61,3.55,3.58,41330300,-0.014851469862370181,3.637857142857143,3.813658536585366
2021-03-04,2021,3,4,Thursday,09,2021-09,3.56,3.59,3.37,3.43,77661700,-0.04020105194153034,3.62,3.8045238095238094
2021-03-05,2021,3,5,Friday,09,2021-09,3.48,3.5,3.39,3.49,60969100,0.015706929603378494,3.6014285714285714,3.7972093023255815
2021-03-08,2021,3,8,Monday,10,2021-10,3.47,3.57,3.44,3.48,44731700,-0.002577373713852804,3.585,3.7899999999999996
2021-03-09,2021,3,9,Tuesday,10,2021-10,3.56,3.6,3.55,3.56,28745800,0.02325561777177665,3.575714285714286,3.7848888888888887
2021-03-10,2021,3,10,Wednesday,10,2021-10,3.63,3.64,3.52,3.56,48054800,0.0,3.565714285714286,3.78
2021-03-11,2021,3,11,Thursday,10,2021-10,3.66,3.72,3.64,3.68,47804000,0.03535361625761779,3.5671428571428576,3.777872340425532
2021-03-12,2021,3,12,Friday,10,2021-10,3.67,3.79,3.66,3.79,42936700,0.029268200157141377,3.5835714285714286,3.7781249999999997
2021-03-15,2021,3,15,Monday,11,2021-11,3.85,3.94,3.83,3.86,59527500,0.018957497398007783,3.605714285714286,3.779795918367347
2021-03-16,2021,3,16,Tuesday,11,2021-11,3.88,3.91,3.76,3.81,37064700,-0.013953597755365643,3.6185714285714288,3.7804
2021-03-17,2021,3,17,Wednesday,11,2021-11,3.76,3.86,3.74,3.84,24682500,0.009434162462677698,3.632857142857143,3.7874
2021-03-18,2021,3,18,Thursday,11,2021-11,3.63,3.71,3.51,3.51,83759200,-0.08644849308393077,3.632142857142857,3.785
2021-03-19,2021,3,19,Friday,11,2021-11,3.54,3.67,3.53,3.61,47529100,0.02813276593757319,3.630714285714286,3.7845999999999997
2021-03-22,2021,3,22,Monday,12,2021-12,3.66,3.69,3.63,3.65,31188900,0.009950260910029707,3.632142857142857,3.7859999999999996
2021-03-23,2021,3,23,Tuesday,12,2021-12,3.65,3.66,3.58,3.58,33771300,-0.019704391954284528,3.632142857142857,3.787
2021-03-24,2021,3,24,Wednesday,12,2021-12,3.58,3.59,3.52,3.52,35003500,-0.015075427822232923,3.6385714285714283,3.7878
2021-03-25,2021,3,25,Thursday,12,2021-12,3.52,3.59,3.5,3.57,37997300,0.01275516836806001,3.644285714285714,3.7872000000000003
2021-03-26,2021,3,26,Friday,12,2021-12,3.61,3.67,3.57,3.65,34522200,0.02266996776323027,3.656428571428571,3.7885999999999997
2021-03-29,2021,3,29,Monday,13,2021-13,3.63,3.66,3.59,3.61,26233600,-0.009852228664274931,3.66,3.7874
2021-03-30,2021,3,30,Tuesday,13,2021-13,3.58,3.59,3.51,3.58,29751400,-0.007462646163955089,3.6614285714285715,3.7858
2021-03-31,2021,3,31,Wednesday,13,2021-13,3.57,3.59,3.56,3.56,18639300,-0.00751895554296389,3.652857142857143,3.7828
2021-04-01,2021,4,1,Thursday,13,2021-13,3.59,3.63,3.57,3.59,24315900,0.010100956616302836,3.6385714285714283,3.7791999999999994
2021-04-05,2021,4,5,Monday,14,2021-14,3.6,3.64,3.59,3.64,21294300,0.012500332603893938,3.6228571428571428,3.7762000000000002
2021-04-06,2021,4,6,Tuesday,14,2021-14,3.61,3.63,3.58,3.59,24788100,-0.012346003454385412,3.6071428571428568,3.7726000000000006
2021-04-07,2021,4,7,Wednesday,14,2021-14,3.62,3.64,3.59,3.64,30073100,0.012500332603893938,3.5928571428571425,3.7582
2021-04-08,2021,4,8,Thursday,14,2021-14,3.66,3.68,3.61,3.65,20646800,0.0024689909767208196,3.602857142857143,3.7462
2021-04-09,2021,4,9,Friday,14,2021-14,3.66,3.73,3.66,3.71,45389600,0.017241481880312826,3.61,3.7028000000000003
2021-04-12,2021,4,12,Monday,15,2021-15,3.69,3.71,3.66,3.66,20166000,-0.01452782900866656,3.6107142857142853,3.6918
2021-04-13,2021,4,13,Tuesday,15,2021-15,3.66,3.73,3.65,3.71,23394700,0.01474199823831901,3.62,3.6839999999999997
2021-04-14,2021,4,14,Wednesday,15,2021-15,3.71,3.75,3.69,3.71,28670000,0.0,3.633571428571429,3.6703999999999994
2021-04-15,2021,4,15,Thursday,15,2021-15,3.7,3.75,3.68,3.71,26112500,0.0,3.643571428571429,3.6632
2021-04-16,2021,4,16,Friday,15,2021-15,3.73,3.76,3.71,3.75,22913700,0.012106342086263933,3.650714285714286,3.6538
2021-04-19,2021,4,19,Monday,16,2021-16,3.75,3.79,3.73,3.75,32936800,-0.00239226823984684,3.6607142857142856,3.6502
2021-04-20,2021,4,20,Tuesday,16,2021-16,3.71,3.73,3.69,3.73,31939900,-0.004796073471433404,3.6714285714285713,3.6489999999999996
2021-04-21,2021,4,21,Wednesday,16,2021-16,3.72,3.79,3.71,3.78,24943500,0.014457751803477414,3.6871428571428573,3.648
2021-04-22,2021,4,22,Thursday,16,2021-16,3.77,3.8,3.74,3.74,30173600,-0.011876420167798107,3.697857142857143,3.6475999999999997
2021-04-23,2021,4,23,Friday,16,2021-16,3.74,3.77,3.7,3.77,24054100,0.00961545946093545,3.707142857142857,3.648
2021-04-26,2021,4,26,Monday,17,2021-17,3.78,3.8,3.75,3.77,33928800,0.0,3.72,3.6498000000000004
2021-04-27,2021,4,27,Tuesday,17,2021-17,3.77,3.8,3.75,3.79,29219000,0.004761625499683841,3.730714285714286,3.6506
2021-04-28,2021,4,28,Wednesday,17,2021-17,3.83,3.86,3.76,3.77,30467300,-0.004739059871355811,3.739285714285714,3.6518
2021-04-29,2021,4,29,Thursday,17,2021-17,4.37,4.43,4.09,4.19,165782300,0.11190477153449363,3.773571428571429,3.6618
2021-04-30,2021,4,30,Friday,17,2021-17,4.28,4.34,4.16,4.2,67006400,0.0021410883562691385,3.812142857142857,3.6718
2021-05-03,2021,5,3,Monday,18,2021-18,4.28,4.44,4.24,4.41,73060400,0.04914515057511548,3.862142857142857,3.6868
2021-05-04,2021,5,4,Tuesday,18,2021-18,4.31,4.34,4.14,4.22,54431800,-0.042769635481073265,3.8985714285714286,3.7
2021-05-05,2021,5,5,Wednesday,18,2021-18,4.3,4.36,4.28,4.31,39932100,0.02127659334160681,3.9414285714285713,3.7152000000000003
2021-05-06,2021,5,6,Thursday,18,2021-18,4.31,4.38,4.3,4.37,37305600,0.014583475489447384,3.9857142857142853,3.73
2021-05-07,2021,5,7,Friday,18,2021-18,4.51,4.65,4.47,4.58,75594600,0.04722788153723556,4.045,3.7488
2021-05-10,2021,5,10,Monday,19,2021-19,4.62,4.63,4.46,4.47,56138800,-0.02352959422147416,4.097857142857142,3.7678
2021-05-11,2021,5,11,Tuesday,19,2021-19,4.36,4.44,4.33,4.43,48344900,-0.010040213725622693,4.144285714285714,3.7838
2021-05-12,2021,5,12,Wednesday,19,2021-19,4.36,4.38,4.21,4.23,44321400,-0.04462461868146672,4.179285714285714,3.7958
2021-05-13,2021,5,13,Thursday,19,2021-19,4.28,4.3,4.19,4.27,34768600,0.008492523058813983,4.215,3.8095999999999997
2021-05-14,2021,5,14,Friday,19,2021-19,4.35,4.4,4.3,4.4,24306400,0.03157877797046926,4.26,3.829
2021-05-17,2021,5,17,Monday,20,2021-20,4.38,4.43,4.37,4.41,21961100,0.0020408057141694247,4.304285714285714,3.8474
2021-05-18,2021,5,18,Tuesday,20,2021-20,4.48,4.55,4.45,4.47,43302500,0.014256761388121708,4.354285714285714,3.8672000000000004
2021-05-19,2021,5,19,Wednesday,20,2021-20,4.4,4.46,4.39,4.44,27387100,-0.008032085705143022,4.372142857142857,3.8848000000000003
2021-05-20,2021,5,20,Thursday,20,2021-20,4.45,4.63,4.44,4.63,49555700,0.04251000051364584,4.402857142857143,3.9062
2021-05-21,2021,5,21,Friday,20,2021-20,4.63,4.64,4.53,4.54,38946200,-0.01941716750221434,4.4121428571428565,3.9233999999999996
2021-05-24,2021,5,24,Monday,21,2021-21,4.53,4.57,4.49,4.51,20700400,-0.005940666079905621,4.432857142857143,3.9378
2021-05-25,2021,5,25,Tuesday,21,2021-21,4.53,4.54,4.45,4.49,26384100,-0.0039841475825465045,4.445714285714286,3.9503999999999997
2021-05-26,2021,5,26,Wednesday,21,2021-21,4.43,4.52,4.42,4.45,46709100,-0.01000005202222598,4.451428571428571,3.9632
2021-05-27,2021,5,27,Thursday,21,2021-21,4.46,4.58,4.46,4.55,52034900,0.024242508734715562,4.449285714285714,3.9773999999999994
2021-05-28,2021,5,28,Friday,21,2021-21,4.67,4.75,4.62,4.64,68837800,0.017751592045916365,4.461428571428572,4.0
2021-06-01,2021,6,1,Tuesday,22,2021-22,4.68,4.72,4.63,4.66,29907300,0.005813818314396979,4.477857142857143,4.021
2021-06-02,2021,6,2,Wednesday,22,2021-22,4.72,4.99,4.71,4.9,122532600,0.05009657895207864,4.525714285714286,4.046
2021-06-03,2021,6,3,Thursday,22,2021-22,5.03,5.11,4.86,4.92,100445400,0.005504458657291211,4.5721428571428575,4.0728
2021-06-04,2021,6,4,Friday,22,2021-22,4.94,5.0,4.9,4.92,31582700,0.0,4.609285714285714,4.1008000000000004
2021-06-07,2021,6,7,Monday,23,2021-23,4.92,5.06,4.9,5.04,46400100,0.023722593621155807,4.654285714285714,4.130199999999999
2021-06-08,2021,6,8,Tuesday,23,2021-23,5.0,5.11,4.98,5.01,48799900,-0.0053476588580659845,4.692857142857143,4.1574
2021-06-09,2021,6,9,Wednesday,23,2021-23,4.99,5.04,4.91,4.93,45972000,-0.01612894479759197,4.727857142857142,4.1838
2021-06-10,2021,6,10,Thursday,23,2021-23,4.89,4.93,4.84,4.89,26553200,-0.009107514620553148,4.746428571428572,4.21
2021-06-11,2021,6,11,Friday,23,2021-23,4.92,4.94,4.84,4.88,20367500,-0.001838322829746608,4.770714285714286,4.236400000000001
2021-06-14,2021,6,14,Monday,24,2021-24,4.91,4.92,4.87,4.9,18049500,0.0036835147294151938,4.798571428571428,4.2626
2021-06-15,2021,6,15,Tuesday,24,2021-24,4.88,4.89,4.74,4.75,28954100,-0.029357924519186618,4.817142857142857,4.2848
2021-06-16,2021,6,16,Wednesday,24,2021-24,4.72,4.73,4.64,4.69,27315300,-0.013232641841130266,4.8342857142857145,4.306799999999999
2021-06-17,2021,6,17,Thursday,24,2021-24,4.63,4.72,4.6,4.64,21979300,-0.011494089229163729,4.840714285714285,4.3268
2021-06-18,2021,6,18,Friday,24,2021-24,4.6,4.64,4.55,4.58,32587600,-0.011627945256100003,4.836428571428572,4.345400000000001
2021-06-21,2021,6,21,Monday,25,2021-25,4.6,4.62,4.57,4.58,17269200,0.0,4.8307142857142855,4.3628
2021-06-22,2021,6,22,Tuesday,25,2021-25,4.62,4.62,4.56,4.59,20408100,0.0019608775830131098,4.808571428571428,4.3814
2021-06-23,2021,6,23,Wednesday,25,2021-25,4.59,4.62,4.54,4.54,19223900,-0.011741720990223414,4.781428571428571,4.398
2021-06-24,2021,6,24,Thursday,25,2021-25,4.64,4.65,4.59,4.62,22525900,0.017821788006466388,4.76,4.4162
2021-06-25,2021,6,25,Friday,25,2021-25,4.76,5.08,4.76,4.9,80335300,0.060311360800496816,4.75,4.44
2021-06-28,2021,6,28,Monday,26,2021-26,4.9,4.94,4.84,4.85,32338100,-0.009174552303120143,4.738571428571428,4.462
2021-06-29,2021,6,29,Tuesday,26,2021-26,4.85,4.87,4.78,4.81,24817500,-0.007407269054295451,4.7299999999999995,4.4832
2021-06-30,2021,6,30,Wednesday,26,2021-26,4.8,4.81,4.75,4.78,22820600,-0.007462843252759366,4.722142857142857,4.5042
2021-07-01,2021,7,1,Thursday,26,2021-26,4.84,4.86,4.79,4.82,20298900,0.009398545381251289,4.7178571428571425,4.525
2021-07-02,2021,7,2,Friday,26,2021-26,4.82,4.85,4.78,4.84,16496300,0.003724275683984146,4.713571428571428,4.547
2021-07-06,2021,7,6,Tuesday,27,2021-27,4.92,4.92,4.79,4.87,22637400,0.00556612856587968,4.722142857142857,4.569
2021-07-07,2021,7,7,Wednesday,27,2021-27,4.9,4.92,4.81,4.84,23180500,-0.00553531827272058,4.732857142857143,4.5904
2021-07-08,2021,7,8,Thursday,27,2021-27,4.78,4.87,4.74,4.86,27998400,0.003710752377253046,4.748571428571429,4.6118
2021-07-09,2021,7,9,Friday,27,2021-27,4.9,4.95,4.9,4.91,17011000,0.011090512072220893,4.772142857142858,4.6346
2021-07-12,2021,7,12,Monday,28,2021-28,4.9,4.91,4.81,4.82,17539900,-0.018281533342610845,4.789285714285714,4.647200000000001
2021-07-13,2021,7,13,Tuesday,28,2021-28,5.21,5.39,5.19,5.28,112928500,0.09497214380182162,4.838571428571428,4.6688
2021-07-14,2021,7,14,Wednesday,28,2021-28,5.36,5.39,5.25,5.25,53167000,-0.00680295446204926,4.889285714285714,4.6856
2021-07-15,2021,7,15,Thursday,28,2021-28,5.17,5.22,5.08,5.17,35647500,-0.015410877657036082,4.928571428571429,4.7046
2021-07-16,2021,7,16,Friday,28,2021-28,5.17,5.2,5.09,5.1,24607200,-0.012173940177483078,4.942857142857143,4.7204
2021-07-19,2021,7,19,Monday,29,2021-29,5.07,5.08,4.97,5.03,36996800,-0.014084432012924086,4.955714285714286,4.733599999999999
2021-07-20,2021,7,20,Tuesday,29,2021-29,5.08,5.24,5.07,5.22,33724300,0.03750008175869257,4.985,4.7463999999999995
2021-07-21,2021,7,21,Wednesday,29,2021-29,5.26,5.35,5.18,5.21,31808000,-0.0017211609604367295,5.015714285714286,4.7612
2021-07-22,2021,7,22,Thursday,29,2021-29,5.22,5.23,5.16,5.17,19818600,-0.008620825363121365,5.040714285714286,4.776
2021-07-23,2021,7,23,Friday,29,2021-29,5.19,5.22,5.15,5.17,16085400,0.0,5.064285714285715,4.7948
2021-07-26,2021,7,26,Monday,30,2021-30,5.22,5.29,5.21,5.25,21145800,0.015652090102685534,5.091428571428572,4.8144
2021-07-27,2021,7,27,Tuesday,30,2021-30,5.25,5.25,5.13,5.17,28728700,-0.015410877657036082,5.115,4.8298
2021-07-28,2021,7,28,Wednesday,30,2021-30,5.17,5.25,5.14,5.22,25051900,0.010434911374801237,5.140714285714286,4.846
2021-07-29,2021,7,29,Thursday,30,2021-30,5.52,5.6,5.41,5.43,71235000,0.041308137149794755,5.1778571428571425,4.8652
2021-07-30,2021,7,30,Friday,30,2021-30,5.45,5.52,5.4,5.46,33579100,0.004958650275645793,5.22357142857143,4.8856
2021-08-02,2021,8,2,Monday,31,2021-31,5.5,5.55,5.42,5.51,35358500,0.008223726285444544,5.24,4.9032
2021-08-03,2021,8,3,Tuesday,31,2021-31,5.59,5.65,5.55,5.65,31755700,0.026100997267175075,5.268571428571429,4.9254
2021-08-04,2021,8,4,Wednesday,31,2021-31,5.64,5.65,5.59,5.6,21965600,-0.009539067981662153,5.299285714285714,4.9472
2021-08-05,2021,8,5,Thursday,31,2021-31,5.61,5.62,5.54,5.56,15594700,-0.006420426620823094,5.332142857142856,4.9686
2021-08-06,2021,8,6,Friday,31,2021-31,5.53,5.56,5.44,5.48,19933500,-0.014539501414355893,5.364285714285714,4.989199999999999
2021-08-09,2021,8,9,Monday,32,2021-32,5.46,5.52,5.45,5.48,15932800,0.0,5.382857142857143,5.0078000000000005
2021-08-10,2021,8,10,Tuesday,32,2021-32,5.48,5.49,5.4,5.41,18532200,-0.013114856243141015,5.397142857142858,5.0232
2021-08-11,2021,8,11,Wednesday,32,2021-32,5.4,5.42,5.36,5.41,19023600,0.0,5.414285714285714,5.0382
2021-08-12,2021,8,12,Thursday,32,2021-32,5.4,5.42,5.33,5.41,21993400,0.0,5.431428571428571,5.0484
2021-08-13,2021,8,13,Friday,32,2021-32,5.44,5.52,5.43,5.5,13796100,0.01661129450924581,5.449285714285714,5.06
2021-08-16,2021,8,16,Monday,33,2021-33,5.43,5.45,5.41,5.45,11390900,-0.008169890704400884,5.469285714285713,5.0706
2021-08-17,2021,8,17,Tuesday,33,2021-33,5.42,5.44,5.3,5.34,22073200,-0.021416775283155,5.477857142857142,5.0766
2021-08-18,2021,8,18,Wednesday,33,2021-33,5.37,5.41,5.34,5.34,14948400,0.0016834031392605198,5.471428571428572,5.0832
2021-08-19,2021,8,19,Thursday,33,2021-33,5.23,5.31,5.19,5.29,24224800,-0.010083979633622953,5.459285714285714,5.0904
2021-08-20,2021,8,20,Friday,33,2021-33,5.28,5.34,5.27,5.3,12266100,0.0016977836884066733,5.444285714285714,5.0986
2021-08-23,2021,8,23,Monday,34,2021-34,5.34,5.43,5.34,5.41,17737900,0.02033896322634976,5.427142857142857,5.1091999999999995
2021-08-24,2021,8,24,Tuesday,34,2021-34,5.41,5.47,5.38,5.43,17137700,0.004983538257491649,5.415,5.119800000000001
2021-08-25,2021,8,25,Wednesday,34,2021-34,5.43,5.46,5.41,5.42,11193500,-0.0033058545924108396,5.405,5.1332
2021-08-26,2021,8,26,Thursday,34,2021-34,5.44,5.48,5.38,5.38,15143000,-0.006633639030876326,5.397857142857142,5.147
2021-08-27,2021,8,27,Friday,34,2021-34,5.36,5.44,5.36,5.42,14302400,0.006677938061446564,5.393571428571428,5.1626
2021-08-30,2021,8,30,Monday,35,2021-35,5.43,5.47,5.41,5.43,12747500,0.0016583657412168051,5.3950000000000005,5.179599999999999
2021-08-31,2021,8,31,Tuesday,35,2021-35,5.41,5.42,5.34,5.35,16860500,-0.013245136714777894,5.390714285714286,5.195
2021-09-01,2021,9,1,Wednesday,35,2021-35,5.38,5.41,5.34,5.34,11898800,-0.0016778433825208605,5.385714285714286,5.21
2021-09-02,2021,9,2,Thursday,35,2021-35,5.42,5.45,5.4,5.44,13774800,0.018487474428277473,5.381428571428572,5.228000000000001
2021-09-03,2021,9,3,Friday,35,2021-35,5.43,5.43,5.41,5.43,9894300,-0.0033003121088237553,5.380000000000001,5.244199999999999
2021-09-07,2021,9,7,Tuesday,36,2021-36,5.38,5.43,5.37,5.37,15367400,-0.009933720705200266,5.382142857142857,5.2536000000000005
2021-09-08,2021,9,8,Wednesday,36,2021-36,5.37,5.39,5.29,5.29,15242900,-0.015050261930872666,5.378571428571428,5.2624
2021-09-09,2021,9,9,Thursday,36,2021-36,5.28,5.37,5.28,5.31,17186400,0.0033956575022877633,5.380000000000001,5.2724
2021-09-10,2021,9,10,Friday,36,2021-36,5.33,5.36,5.23,5.24,23802700,-0.01353648449307887,5.375714285714286,5.281600000000001
2021-09-13,2021,9,13,Monday,37,2021-37,5.25,5.25,5.15,5.17,25984600,-0.01200706972011123,5.3585714285714285,5.288599999999999
2021-09-14,2021,9,14,Tuesday,37,2021-37,5.22,5.23,5.16,5.17,16905600,0.0,5.340000000000001,5.2951999999999995
2021-09-15,2021,9,15,Wednesday,37,2021-37,5.11,5.11,5.01,5.04,25212400,-0.026041347948122295,5.312857142857142,5.2986
2021-09-16,2021,9,16,Thursday,37,2021-37,5.03,5.08,5.01,5.05,20818300,0.0017823321640366707,5.2892857142857155,5.302800000000001
2021-09-17,2021,9,17,Friday,37,2021-37,4.99,5.0,4.91,4.94,21710000,-0.021352105768842056,5.255000000000001,5.3044
2021-09-20,2021,9,20,Monday,38,2021-38,4.77,4.89,4.73,4.81,37440900,-0.027272866782479643,5.2107142857142845,5.3024000000000004
2021-09-21,2021,9,21,Tuesday,38,2021-38,4.91,4.92,4.81,4.84,26761700,0.00747659545419177,5.174285714285714,5.3027999999999995
2021-09-22,2021,9,22,Wednesday,38,2021-38,4.93,5.05,4.92,4.99,27086700,0.031540114889731186,5.149285714285715,5.297000000000001
2021-09-23,2021,9,23,Thursday,38,2021-38,5.0,5.05,4.99,5.01,16793300,0.0035970069083537393,5.118571428571428,5.2922
2021-09-24,2021,9,24,Friday,38,2021-38,4.96,5.05,4.94,5.01,12200000,0.0,5.088571428571428,5.289
2021-09-27,2021,9,27,Monday,39,2021-39,5.03,5.08,5.02,5.06,12450900,0.008960810284882603,5.066428571428572,5.2882
2021-09-28,2021,9,28,Tuesday,39,2021-39,5.0,5.06,4.88,4.88,26288200,-0.03552424915523067,5.0371428571428565,5.2852
2021-09-29,2021,9,29,Wednesday,39,2021-39,4.9,4.94,4.83,4.88,17239600,0.0,5.006428571428571,5.2783999999999995
2021-09-30,2021,9,30,Thursday,39,2021-39,4.93,4.94,4.88,4.9,14617300,0.0036835147294151938,4.982142857142857,5.272200000000001
2021-10-01,2021,10,1,Friday,39,2021-39,4.94,4.95,4.84,4.9,35200500,0.0018346572163703279,4.9628571428571435,5.2668
2021-10-04,2021,10,4,Monday,40,2021-40,4.97,5.0,4.9,4.91,20779000,0.0018314918598849594,4.944285714285714,5.2616000000000005
2021-10-05,2021,10,5,Tuesday,40,2021-40,5.01,5.1,5.0,5.08,17459800,0.03473511714656641,4.9471428571428575,5.2582
2021-10-06,2021,10,6,Wednesday,40,2021-40,5.06,5.09,4.98,5.08,24246800,-0.0017668682979240513,4.949285714285715,5.2564
2021-10-07,2021,10,7,Thursday,40,2021-40,5.14,5.21,5.13,5.18,16933400,0.02123882031983948,4.966428571428572,5.255599999999999
2021-10-08,2021,10,8,Friday,40,2021-40,5.25,5.28,5.19,5.21,16116500,0.005199370537145587,4.994999999999999,5.251199999999999
2021-10-11,2021,10,11,Monday,41,2021-41,5.19,5.25,5.17,5.21,12405100,0.0,5.021428571428571,5.2462
2021-10-12,2021,10,12,Tuesday,41,2021-41,5.24,5.25,5.19,5.21,17008300,0.0,5.0371428571428565,5.2402
2021-10-13,2021,10,13,Wednesday,41,2021-41,5.25,5.29,5.23,5.25,10745600,0.00689633080422114,5.054285714285714,5.232200000000001
2021-10-14,2021,10,14,Thursday,41,2021-41,5.33,5.36,5.31,5.34,13816600,0.018835698930595557,5.077857142857143,5.227
2021-10-15,2021,10,15,Friday,41,2021-41,5.36,5.37,5.29,5.3,12341800,-0.008403316361352386,5.095,5.221799999999999
